"Vessel Name","Destination Port","Reported Eta","Arrived At","Capacity - Dwt","Vessel Type - Generic",Flag,"Current Port","Reported Destination","Navigational Status",Build,Length,Width,"Current Port Country","Draught Max","Draught Min","Vessel Type - Detailed","Launch Date",Imo,Eni,Mmsi,"Global Area","Local Area","Current Port Unlocode"
"MARATHA PRESTIGE",SHUAIBA,"2024-03-25 05:45:00","2024-03-25 05:17:00",32080,Cargo,India,"SHUAIBA ANCH",KWSAA,"At Anchor",2010,175.5,29.4,KW,10.5,3.7,"Bulk Carrier",,9561332,,419000160,"Arabian Gulf","Persian Gulf",
SATINA,"KHOR FAKKAN","2024-03-25 06:00:00","2024-03-25 04:58:00",47999,Tanker,Panama,"KHOR FAKKAN ANCH",KHORFAKKAN,"At Anchor",2004,180.0,32.2,AE,12.4,6.0,"Oil Products Tanker",,9308778,,352002316,"Arabian Gulf","Oman Gulf",
"CORSICA MARINA SECONDA",TOULON,"2024-03-25 06:00:00",,1791,Passenger,Italy,"LA SEYNE-SUR-MER",FRTLN,Moored,1974,120.0,21.6,FR,7.4,5.0,"Ro-Ro/Passenger Vessel",1974-02-03,7349039,,247552000,"West Mediterranean","West Mediterranean",FRYNE
"SEA GLORY",SAMSUN,"2024-03-25 06:00:00","2024-03-25 07:27:00",7822,Cargo,Palau,"SAMSUN ANCH",SAMSUN,"At Anchor",1983,125.0,18.0,TR,6.6,3.8,"General Cargo",1983-08-06,8209626,,511986000,"Black Sea","Black Sea",
"RESOLVE COMMANDER","PUNTA ARENAS","2024-03-25 06:00:00","2024-03-26 08:56:00",,Tug,Vanuatu,"PUNTA ARENAS","PUNTA ARENAS CHILE",Moored,1976,39.2,11.1,CL,5.7,4.0,Tug,1975-11-30,7505982,,577016000,"West South America","West South America",CLPUQ
"DE LAPEROUSE","MINA SAQR","2024-03-25 06:00:00","2024-03-25 02:23:00",5225,"Special Craft",Luxembourg,"MINA SAQR","MINA SAQR PORT",Moored,2010,99.5,19.4,AE,7.9,4.0,Dredger,,9462603,,253046000,"Arabian Gulf","Persian Gulf",AEMSA
BINAIYA,CIREBON,"2024-03-25 06:00:00","2024-03-25 09:50:00",1418,Passenger,Indonesia,CIREBON,CIREBON,Stopped,1994,99.8,18.3,ID,5.9,4.0,"Passenger Vessel",,9032161,,525005004,Indonesia,"Java Sea",IDCBN
"SEA PANTHER","ODUDU TERMINAL","2024-03-25 06:00:00","2024-03-25 05:05:00",13061,Tanker,"Marshall Is","ODUDU TERMINAL","ODUDU TERMINAL","At Anchor",2005,128.6,20.4,NG,8.9,4.2,"Oil/Chemical Tanker",2005-07-06,9322138,,538002436,"West Africa","Gulf of Guinea",NGODU
"NORMAND SAMSON","LAS PALMAS","2024-03-25 06:00:00","2024-03-25 07:27:00",9000,"Special Craft",Norway,"LAS PALMAS","ES LPA",Moored,2009,121.5,26.0,ES,9.9,7.5,"Special Craft",2008-05-14,9400497,,257311000,"West Africa","West Africa",ESLPA
"WILSON ELBE",NADOR,"2024-03-25 06:00:00","2024-03-25 06:59:00",2665,Cargo,Barbados,NADOR,MANDR,Moored,1993,82.4,11.4,MA,5.9,2.8,"General Cargo",1993-03-27,9060675,,314423000,"West Mediterranean","West Mediterranean",MANDR
"BUKHTA NATALII",VLADIVOSTOK,"2024-03-25 06:00:00","2024-03-25 07:16:00",1167,Cargo,Russia,,"RU VVO","Towing Astern",1980,69.8,11.0,,4.8,3.2,Reefer,,7929786,,273358660,"CIS Pacific","CIS Pacific",
MARZUK,VOLOS,"2024-03-25 06:00:00","2024-03-25 12:56:00",4164,Cargo,Tanzania,VOLOS,VOLOS,Moored,1974,88.0,14.0,GR,6.7,3.2,"General Cargo",1974-10-04,7396666,0,677019400,"East Mediterranean","Aegean Sea",GRVOL
"SANTA MARIA T",MALAGA,"2024-03-25 06:00:00","2024-03-25 06:44:00",,"Pleasure Craft",Malta,MALAGA,ESAGP,Moored,2015,36.0,8.0,ES,3.0,3.0,"Other Pleasure Craft",,0,,248000893,"West Mediterranean",Gibraltar,ESAGP
"SEALEADER II",SALDANHA,"2024-03-25 06:00:00","2024-03-25 10:57:00",180100,Cargo,Malta,SALDANHA,"ZA SDB",Moored,2011,295.0,46.0,ZA,18.7,5.8,"Bulk Carrier",,9439606,,215895000,"South Africa","South Africa",ZASDB
"GNV CRISTAL",NAPOLI,"2024-03-25 06:00:00","2024-03-25 13:02:00",4100,Passenger,Italy,NAPOLI,ITNAP,Moored,1989,161.3,33.4,IT,6.6,5.8,"Ro-Ro/Passenger Vessel",,8712518,,247163900,"West Mediterranean","Tyrrhenian Sea",ITNAP
UNIVENTURE,DOUALA,"2024-03-25 06:00:00","2024-03-25 05:16:00",17096,Cargo,"Antigua Barbuda",DOUALA,CMDLA,Moored,2012,150.0,23.6,CM,9.5,4.9,"Bulk Carrier",2011-11-16,9521849,,304599000,"West Africa","Gulf of Guinea",CMDLA
FLANDRIYA,KALININGRAD,"2024-03-25 06:00:00","2024-03-25 04:16:00",2800,Tanker,Russia,KALININGRAD,RUKGD,Moored,1986,80.9,14.5,RU,6.4,4.5,"Oil/Chemical Tanker",,8414477,,273350220,"Baltic Sea","Baltic Sea",RUKGD
"PMG EMERALD",TOWNSVILLE,"2024-03-25 06:00:00","2024-03-25 00:04:00",423,"Special Craft",Australia,TOWNSVILLE,TOWNSVILLE,Stopped,2009,41.8,10.0,AU,3.5,3.0,"Supply Vessel",,9530412,,503000137,"East Australia","East Australia",AUTSV
"LAE EXPRESS II",LAE,"2024-03-25 06:00:00","2024-03-25 06:29:00",7598,Cargo,"Papua New Guinea",LAE,"LAE PNG","Underway using Engine",2000,107.8,18.2,PG,8.4,4.2,"General Cargo",,9210282,,553111816,"North Australia","Coral Sea",PGLAE
TAKREEM,"ABU DHABI","2024-03-25 06:00:00","2024-03-25 03:45:00",3875,"Special Craft",UAE,"FREE PORT",AEAUH,Moored,2019,78.0,7.0,AE,4.0,2.6,"Landing Craft",2018-08-28,9794915,0,470631000,"Arabian Gulf","Persian Gulf",AEMZD
"KANG MAY",YOKKAICHI,"2024-03-25 06:45:00","2024-03-25 06:37:00",85001,Cargo,Liberia,"YOKKAICHI ANCH","JP YKK OFF","At Anchor",2016,228.4,36.5,JP,14.3,6.6,"Bulk Carrier",,9774472,0,636017368,"Japan Coast","Japan Coast",
"MOUNIE K",JACMEL,"2024-03-25 07:00:00","2024-03-25 11:32:00",4818,Cargo,"St Vincent Grenadines",JACMEL,JACMEL,"Underway using Engine",1985,97.4,18.5,HT,5.3,1.6,"General Cargo",,8416152,,377901115,"Caribbean Sea","Caribbean Sea",HTJAK
"AEGEAN DREAM",CARTAGENA,"2024-03-25 07:00:00","2024-03-25 07:50:00",158888,Tanker,Greece,CARTAGENA,ESCAR,Moored,2016,274.0,48.0,ES,17.2,5.2,"Crude Oil Tanker",2016-06-17,9645425,0,241463000,"West Mediterranean","West Mediterranean",ESCAR
"TOYOSHIO MARU",KURE,"2024-03-25 07:00:00","2024-03-25 06:20:00",130,Fishing,Japan,KURE,"RESEARCH JP KRE",Moored,2006,40.5,8.5,JP,3.5,3.5,"Special Fishing Vessel",,9384423,,432575000,"Japan Coast","Japan Coast",JPKRE
KAPADOKYA,MISURATA,"2024-03-25 07:00:00","2024-03-25 07:27:00",32262,Cargo,Barbados,MISURATA,"LY MRA",Moored,2003,171.6,27.0,LY,11.5,5.0,"General Cargo",2003-01-08,9268083,,314737000,"East Mediterranean","East Mediterranean",LYMRA
"ARDMORE EXPORTER",JIANGYIN,"2024-03-25 07:00:00","2024-03-26 12:14:00",49526,Tanker,"Marshall Is",JIANGYIN,"CN JIA",Moored,2014,183.0,32.5,CN,12.9,5.5,"Oil/Chemical Tanker",2013-11-18,9654775,,538005089,"Central China","East China Sea",CNJIA
"BURCUM I",ALIAGA,"2024-03-25 07:00:00","2024-03-25 09:15:00",5202,Cargo,Turkey,NEMRUT,ALIAGA,Moored,1997,97.8,15.4,TR,7.4,3.4,"General Cargo",,9146405,,271000506,"East Mediterranean","Aegean Sea",TRNEM
"CAPE KASOS","SAN LORENZO","2024-03-25 07:00:00","2024-03-25 05:33:00",81403,Cargo,Cyprus,"SAN LORENZO","AR SLO","At Anchor",2012,229.0,32.3,AR,15.0,5.7,"Bulk Carrier",,9627069,,210911000,"Inland, South America","Inland, South America",ARSLO
"MONDIAL SUN",MUNDRA,"2024-03-25 07:00:00","2024-03-25 05:43:00",82035,Cargo,"Marshall Is",MUNDRA,INMUN,Moored,2019,229.0,32.0,IN,14.8,6.5,"Bulk Carrier",2019-05-13,9859296,0,538008524,"West Coast India","West Coast India",INMUN
"RIO ALGAR PRIMERO",LOBITO,"2024-03-25 07:00:00","2024-03-25 11:43:00",160,Fishing,Spain,LOBITO,LOBITO,"Not Under Command",1990,33.0,8.3,AO,4.5,3.5,"Fishing Vessel",,9007221,,224133000,"West Africa","West Africa",AOLOB
"BOURBON CLEAR","WALVIS BAY","2024-03-25 07:00:00","2024-03-25 06:45:00",4400,"Special Craft",Bahamas,"WALVIS BAY","WALVIS BAY",Moored,2012,88.8,19.0,NA,8.9,4.5,"Supply Vessel",2009-10-22,9530113,,311000264,"West Africa","West Africa",NAWVB
"FWN ATLANTIC",ZADAR,"2024-03-25 07:00:00","2024-03-25 09:51:00",12575,Cargo,Netherlands,"ZADAR ANCH",ZADAR,"At Anchor",2023,143.9,18.0,HR,7.6,4.6,"General Cargo",,9931472,0,246799000,"Adriatic Sea","Adriatic Sea",
"CHRISTOS XLII",PIRAEUS,"2024-03-25 07:00:00","2024-03-25 19:36:00",235,Tug,Greece,PIRAEUS,"GR PER",Stopped,1983,37.4,11.8,GR,5.6,3.5,Tug,1983-03-30,8127921,,241621000,"East Mediterranean","Piraeus Area",GRPIR
"TORM KIRSTEN",LOME,"2024-03-25 07:00:00","2024-03-25 08:08:00",114445,Tanker,Denmark,"LOME ANCH",TGLFW,"At Anchor",2015,252.0,45.0,TG,15.0,6.8,"Crude Oil Tanker",2015-07-03,9701566,,219029080,"West Africa","Gulf of Guinea",
CARMENTA,COEVORDEN,"2024-03-25 07:30:00","2024-03-26 15:59:00",,"Pleasure Craft",Netherlands,COEVORDEN,COEVORDEN,"Underway using Engine",,26.0,5.0,NL,0.2,0.2,"Other Pleasure Craft",,0,,244780416,"Inland, Europe","North Sea",NLCOE
KITAKAMI,KAMAISHI,"2024-03-25 07:30:00","2024-03-25 06:00:00",,"Special Craft",Japan,KAMAISHI,"JP KIS","Underway using Engine",2018,70.0,10.0,JP,3.3,2.3,"Patrol Vessel",,9827906,0,431689000,"Japan Coast","Japan Coast",JPKIS
RANCO,PATACHE,"2024-03-25 07:30:00","2024-03-25 09:27:00",449,Tug,Chile,"PATACHE ANCH",PATACHE,"At Anchor",2006,31.5,11.2,CL,7.7,3.5,Tug,,9384382,,725000906,"West South America","West South America",
"AEOLUS II",HYDRA,"2024-03-25 07:35:00","2024-03-25 07:52:00",,"Sailing Vessel",Greece,FLISVOS,"YDRA 25 MARCH 24",Stopped,,0.0,0.0,GR,,,"Sailing Vessel",,0,0,239687700,"East Mediterranean","Piraeus Area",
"HANNE DANICA",TAKORADI,"2024-03-25 08:00:00","2024-03-25 07:06:00",2191,Cargo,Denmark,"TAKORADI ANCH","GH TKD","At Anchor",1992,71.8,11.7,GH,5.6,2.9,"General Cargo",,9006239,,219363000,"West Africa","Gulf of Guinea",
"SEAWAYS JEJU",GIBRALTAR,"2024-03-25 08:00:00","2024-03-26 01:20:00",50072,Tanker,Liberia,"GIBRALTAR EAST ANCH","GI GIB","At Anchor",2015,183.0,32.2,GI,13.5,6.8,"Oil/Chemical Tanker",2015-08-13,9700471,,636016946,"West Mediterranean",Gibraltar,
"TOKACHI FROST",NOUADHIBOU,"2024-03-25 08:00:00","2024-03-26 15:09:00",3621,Cargo,Palau,,"MR NDB",Underway,1985,112.0,16.0,,7.3,4.0,Reefer,,8503242,,511100480,"West Africa","West Africa",
"DONG NAN 15","RATU SONGKHLA","2024-03-25 08:00:00","2024-03-25 08:21:00",1282,"Special Craft",Malaysia,,MUDA,"Underway using Engine",2021,59.3,15.0,,5.5,3.8,"Supply Vessel",,9754549,0,533132533,"South-East Asia","Riau Archipelago",
"YAMAL BERKUT",SABETTA,"2024-03-25 08:00:00","2024-03-26 00:57:00",17330,Cargo,Russia,SABETTA,"RU SAB-1",Moored,2008,143.0,21.8,RU,9.9,5.1,"General Cargo",,9368338,0,273218690,"North Coast CIS","Kara Sea",RUSAB
"AL MIRQAB",RIJEKA,"2024-03-25 08:00:00","2024-03-25 08:01:00",1440,"Pleasure Craft","Cayman Is",RIJEKA,RIJEKA,Stopped,2008,133.2,20.9,HR,5.9,4.7,Yacht,,1009223,,319361000,"Adriatic Sea","Adriatic Sea",HRRJK
"ARGOS M",HIROHATA,"2024-03-25 08:00:00","2024-03-25 04:17:00",35358,Cargo,Liberia,HIROHATA,HIROHATA,Moored,2010,179.9,28.4,JP,11.4,5.8,"Bulk Carrier",,9502788,,636020439,"Japan Coast","Japan Coast",JPHRH
BESART,SOUSSE,"2024-03-25 08:00:00","2024-03-25 09:05:00",3612,Cargo,Tanzania,,"TN SUS","At Anchor",1981,88.0,11.3,,6.1,2.0,"General Cargo",1981-11-09,8104591,,677080300,"West Mediterranean","West Mediterranean",
MAINFRANKEN,PAPENDRECHT,"2024-03-25 08:00:00","2024-03-25 06:56:00",,Tanker,Germany,PAPENDRECHT,PAPENDRECHT,Moored,,110.0,11.4,NL,3.8,1.4,"Inland Tanker",,0,04812600,211756140,"UK Coast & Atlantic","Rotterdam Area",NLPAP
"ARKLOW WIND",MARSEILLE,"2024-03-25 08:00:00","2024-03-25 07:25:00",16861,Cargo,Ireland,MARSEILLE,MARSEILLE,Moored,2019,149.5,19.3,FR,9.3,4.7,"General Cargo",,9818943,0,250005461,"West Mediterranean","West Mediterranean",FRMRS
"MAYUREE NAREE",SALDANHA,"2024-03-25 08:00:00","2024-03-25 12:03:00",30196,Cargo,Thailand,SALDANHA,ZASDB,Moored,2007,178.7,28.1,ZA,10.8,5.0,"Bulk Carrier",,9323649,,567461000,"South Africa","South Africa",ZASDB
"COMBI DOCK I",SEVILLA,"2024-03-25 08:00:00","2024-03-25 06:57:00",10480,Cargo,"Antigua Barbuda",SEVILLA,ESSVQ,Moored,2008,169.4,25.7,ES,6.7,5.0,"Heavy Load Carrier",2007-12-22,9400473,0,305200000,"UK Coast & Atlantic","UK Coast & Atlantic",ESSVQ
STERLING,"KHOR FAKKAN","2024-03-25 08:00:00","2024-03-25 09:14:00",183,"Special Craft",Indonesia,"KHOR FAKKAN",KHOWRFAKKAN,Moored,1984,43.3,10.1,AE,4.0,1.8,"Supply Vessel",,8413174,,525015208,"Arabian Gulf","Oman Gulf",AEKLF
"LAN GANG TUO 66",LANSHAN,"2024-03-25 08:00:00","2024-03-25 10:16:00",,Tug,China,LANSHAN,LANSHAN,Stopped,,38.0,11.0,CN,4.7,3.7,"Other Special Craft",,0,,413329730,"North China","Yellow Sea",CNLSN
WILLIAM,ZHOUSHAN,"2024-03-25 08:00:00","2024-03-25 09:49:00",23707,Cargo,Portugal,ZHOUSHAN,CNZOS,Moored,2009,176.8,27.7,CN,11.3,6.6,"Container Ship",,9436068,,255806132,"Central China","East China Sea",CNZOS
SHOALWAY,BREMERHAVEN,"2024-03-25 08:00:00","2024-03-25 09:53:00",5490,"Special Craft",Cyprus,BREMERHAVEN,"BREMERHAVEN VIA NOK",Stopped,2010,90.0,19.0,DE,6.9,3.5,Dredger,,9556337,,212115000,"UK Coast & Atlantic","North Sea",DEBRV
THEOSKEPASTI,DUQM,"2024-03-25 08:00:00","2024-03-25 04:15:00",50354,Cargo,"St Vincent Grenadines",DUQM,"IN IXY > OM DQM",Moored,2004,189.8,32.3,OM,12.7,3.6,"Bulk Carrier",2003-12-06,9268978,,377152000,"Arabian Gulf","Arabian Gulf",OMDQM
ELATI,DUNKIRK,"2024-03-25 08:00:00","2024-03-25 06:49:00",81746,Cargo,Barbados,"DUNKIRK EAST","DUNKIRK,FRANCE",Moored,2019,229.0,32.0,FR,14.4,6.4,"Bulk Carrier",2019-06-15,9836490,0,314481000,"UK Coast & Atlantic","English Channel",FRDKK
"SIGMA TRIUMPH",TUZLA,"2024-03-25 08:00:00","2024-03-25 19:44:00",105291,Tanker,Liberia,"TUZLA ANCH","TR TUZ","At Anchor",2009,244.0,42.0,TR,15.0,5.4,"Crude Oil Tanker",,9410650,,636091686,"Black Sea","Marmara Sea",
"YARA BIRKELAND",BREVIK,"2024-03-25 08:08:00","2024-03-25 06:35:00",3120,Cargo,Norway,PORSGRUNN,NOBVK,Stopped,2020,80.0,13.0,NO,6.0,3.5,"Container Ship",,9865049,0,257646000,"Norwegian Coast",Skagerrak,NOPOR
"GAM EXPRESS",ALEXANDRIA,"2024-03-25 08:10:00","2024-03-25 06:25:00",5271,Cargo,Guinea-Bissau,"ALEXANDRIA ANCH",EGALY,"At Anchor",1982,91.5,15.5,EG,7.7,2.7,"General Cargo",1982-04-28,8204119,,630001033,"East Mediterranean","East Mediterranean",
BRIDGE,MESSINA,"2024-03-25 08:30:00","2024-03-25 06:46:00",1452,Passenger,Italy,MESSINA,MESSINA,Moored,1979,94.2,17.0,IT,3.5,3.2,"Ro-Ro/Passenger Vessel",1978-07-15,7817830,,247054100,"West Mediterranean","Tyrrhenian Sea",ITMSN
"DON PEPPINO",ISCHIA,"2024-03-25 08:40:00","2024-03-25 07:48:00",288,Passenger,Italy,POZZUOLI,ISCHIA,Stopped,1964,55.8,11.0,IT,3.4,1.2,"Ro-Ro/Passenger Vessel",,6410776,,247459000,"West Mediterranean","Tyrrhenian Sea",ITPOZ
"PUNTA GIALLA",TARANTO,"2024-03-25 09:00:00","2024-03-25 13:54:00",599,Tanker,Italy,TARANTO,TARANTO,Stopped,1988,51.8,10.2,IT,3.2,1.7,"Bunkering Tanker",,8807117,,247077500,"East Mediterranean","Ionian Sea",ITTAR
"ZHONG SHAN DA XUE",ZHUHAI,"2024-03-25 09:00:00","2024-03-25 11:25:00",2326,"Special Craft",China,ZHUHAI,ZHUHAI,Moored,2021,114.3,21.0,CN,6.5,6.0,"Research/Survey Vessel",,9909534,0,413263240,"South China","South China",CNZUH
"THOR FORTUNE","DAR ES SALAAM","2024-03-25 09:00:00","2024-03-25 08:33:00",54123,Cargo,Singapore,"DAR ES SALAAM ANCH","DARESSALAAM TANZANIA","At Anchor",2011,190.0,32.3,TZ,13.0,5.0,"Bulk Carrier",2011-05-11,9424613,,564853000,"East Africa","East Africa",
"XING HONG",TUBARAO,"2024-03-25 09:00:00","2024-03-25 12:43:00",75619,Cargo,China,TUBARAO,"TUBARAO BRAZIL",Moored,2011,225.0,32.3,BR,14.7,4.5,"Bulk Carrier",,9497062,,412289000,"East Coast South America","East Coast South America",BRTUB
"TSM WINDCAT 53",FECAMP,"2024-03-25 09:00:00","2024-03-25 15:52:00",,"Special Craft",France,FECAMP,FECAMP<=>OWF,Moored,2022,24.0,7.0,FR,2.5,1.8,"Supply Vessel",,9973092,0,228430600,"UK Coast & Atlantic","English Channel",FRFEC
"BBG BRIGHT",SANTOS,"2024-03-25 09:00:00","2024-03-25 11:32:00",82043,Cargo,"Hong Kong","SANTOS ANCH",SANTOS,"At Anchor",2012,228.9,32.0,BR,14.8,6.4,"Bulk Carrier",,9598177,,477638900,"East Coast South America","East Coast South America",
"NC SAPPHIRE",TEOUDIE,"2024-03-25 09:00:00","2024-03-25 23:19:00",66485,Cargo,Japan,TEOUDIE,"NC TUD","At Anchor",2017,200.0,36.0,NC,13.2,6.5,"Bulk Carrier",2017-09-07,9781695,0,431721000,"East Australia","Coral Sea",NCTUD
"OCEAN MARINER",CIENFUEGOS,"2024-03-25 09:00:00","2024-03-25 14:24:00",12983,Tanker,Liberia,,"CU CFG","Underway using Engine",2007,127.2,20.4,,8.9,4.0,"Oil/Chemical Tanker",,9328340,,636021918,"Caribbean Sea","Caribbean Sea",
"QIONG YIN 11 HAO",YANGPU,"2024-03-25 09:00:00","2024-03-26 09:42:00",,Tug,China,YANGPU,"YANG PU",Moored,,36.0,10.0,CN,4.5,4.4,"Other Special Craft",,0,0,413525260,"South China","South China",CNYPG
VERUDA,ANNABA,"2024-03-25 09:00:00","2024-03-25 07:49:00",52000,Cargo,Croatia,ANNABA,DZAAE,Moored,2011,189.9,32.2,DZ,12.9,5.6,"Bulk Carrier",,9585546,,238297000,"West Mediterranean","West Mediterranean",DZAAE
"MUTIARA FERINDO 7",ANCHORAGE,"2024-03-25 09:02:00",,7427,Passenger,Indonesia,,ANCHORAGE,Stopped,1994,195.5,29.4,,7.7,5.0,"Ro-Ro/Passenger Vessel",,9066784,,525200925,Indonesia,"Java Sea",
"SVITZER SHINAS",SOHAR,"2024-03-25 09:23:00","2024-03-25 05:12:00",270,Tug,Oman,SOHAR,SOHAR,Stopped,2020,29.4,13.0,OM,8.7,5.0,Tug,,9873527,0,461001043,"Arabian Gulf","Oman Gulf",OMSOH
SEANNA,RYBOVICH,"2024-03-25 09:30:00","2024-03-25 15:13:00",,"Pleasure Craft","United Kingdom",RYBOVICH,"RYBOVBICH US",Moored,2011,65.0,12.0,US,3.5,3.0,Yacht,,1011501,,235088016,"US East Coast","US East Coast",
"HONG XIANG 17",ZHOUSHAN,"2024-03-25 09:40:00","2024-03-25 08:06:00",,Cargo,China,ZHOUSHAN,"No data (CLASS B transponder)","Underway using Engine",,50.0,11.0,CN,2.6,2.1,"Other Cargo",,0,0,412324270,"Central China","East China Sea",CNZOS
DENVER,AMSTERDAM,"2024-03-25 09:45:00","2024-03-25 09:19:00",,Tanker,Netherlands,ROTTERDAM,"AMSTERDAM AMERIKAHAV",Moored,1993,86.0,10.5,NL,0.4,0.2,"Inland Tanker",,0,02321340,244650106,"UK Coast & Atlantic","Rotterdam Area",NLRTM
MIMI,BENGHAZI,"2024-03-25 10:00:00","2024-03-26 21:14:00",3500,Cargo,Comoros,BENGHAZI,"LY BEN",Moored,1986,83.5,13.6,LY,7.5,2.4,"General Cargo",1986-08-01,8216100,,620908000,"East Mediterranean","East Mediterranean",LYBEN
NORALY,DEVENTER,"2024-03-25 10:00:00","2024-03-25 13:49:00",,Cargo,Netherlands,ZWARTSLUIS,DEVENTER,Stopped,1999,85.7,9.5,NL,3.2,0.3,"Inland Cargo",,0,06003460,244750640,"Inland, Europe","North Sea",NLZWS
"ATLANTIC MOON",PARAMARIBO,"2024-03-25 10:00:00","2024-03-25 07:18:00",5000,Cargo,Panama,PARANAM,"SR PBM","At Anchor",2002,95.3,13.4,SR,6.4,3.5,"General Cargo",,9259032,,372037000,"North Coast South America","North Coast South America",SRPRM
"CAPO BOEO",AUGUSTA,"2024-03-25 10:00:00","2024-03-26 18:35:00",153,Tug,Italy,AUGUSTA,AUGUSTA,Stopped,2016,28.7,9.8,IT,4.6,4.5,Tug,,9793129,0,247343900,"East Mediterranean","Ionian Sea",ITAUG
"ALEXANDER NEVSKIY",VLADIVOSTOK,"2024-03-25 10:00:00","2024-03-25 10:40:00",17069,Tanker,Russia,"VLADIVOSTOK ANCH",RUVVO,"At Anchor",2008,144.1,23.0,RU,9.5,5.0,"Oil/Chemical Tanker",,9356610,,273295660,"CIS Pacific","CIS Pacific",
"DE JING 06",SHANGHAI,"2024-03-25 10:00:00","2024-03-25 07:17:00",,Other,China,SHANGHAI,SHANHAI,Stopped,,40.0,11.0,CN,3.2,3.2,"Other Special Craft",,0,0,413309270,"Central China","East China Sea",CNSHG
"GRANDEUR OF THE SEAS",FREEPORT,"2024-03-25 10:00:00","2024-03-25 10:33:00",7000,Passenger,Bahamas,FREEPORT,FREEPORT,Moored,1996,279.0,36.0,BS,8.3,7.0,"Passenger Vessel",1996-03-01,9102978,,311315000,"Caribbean Sea","Caribbean Sea",BSFPO
GORDION,TRIPOLI,"2024-03-25 10:00:00","2024-03-25 10:06:00",5356,Cargo,Vanuatu,TRIPOLI,LYTIP,Moored,1992,108.0,16.0,LY,6.7,3.2,"General Cargo",1992-10-08,9043380,,577561000,"West Mediterranean","West Mediterranean",LYTIP
"TB MAX 05",SAMARINDA,"2024-03-25 10:00:00","2024-03-25 12:09:00",,Tug,Indonesia,SAMARINDA,SAMARINDA,Underway,,26.0,8.0,ID,3.5,3.0,"Other Special Craft",,0,0,525401051,Indonesia,"Makassar Strait",IDSRI
"GREEN QUEST",STROMNESS,"2024-03-25 10:00:00","2024-03-25 13:57:00",,"High Speed Craft","United Kingdom",STROMNESS,STROMNESS,Moored,2010,16.0,6.0,GB,1.7,1.4,"High Speed Craft",,0,,235083117,"UK Coast & Atlantic","North Sea",GBSNS
"SWEET LYDIA",KOOLAN,"2024-03-25 10:00:00","2024-03-25 11:17:00",79469,Cargo,Liberia,"KOOLAN ANCH","KOOLAN ISLAND AUS","At Anchor",2012,229.0,32.3,AU,15.4,6.1,"Bulk Carrier",2011-10-12,9567166,,636019396,"North Australia","Timor Sea",
"JABAL SAMHAN",SERUI,"2024-03-25 10:00:00","2024-03-25 09:43:00",63658,Cargo,"Marshall Is",,"ID ZRI","Underway using Engine",2015,199.9,32.3,,13.7,6.6,"Bulk Carrier",,9699294,,538007759,Philippines,Philippines,
"PLAYA DE BARRA",LOBITO,"2024-03-25 10:00:00","2024-03-25 10:25:00",234,Fishing,Spain,,"LOBITO ANGOLA","Underway using Engine",1987,39.8,8.8,,5.5,5.0,"Fishing Vessel",,8701181,,224943000,"West Africa","West Africa",
"PONTIANAK HARMONY",BUNATI,"2024-03-25 10:02:00","2024-03-27 03:05:00",,"Special Craft",Indonesia,,BUNATI,"Underway using Engine",2021,68.0,22.0,,3.7,3.7,"Special Craft",,9935985,0,525401294,Indonesia,"Java Sea",
"LH PILOT STE MARIE","LE HAVRE","2024-03-25 10:04:00","2024-03-25 09:42:00",,"Special Craft",France,"LE HAVRE",,Stopped,,16.0,4.0,FR,1.5,1.5,"Pilot Boat",,0,0,227010710,"UK Coast & Atlantic","English Channel",FRLEH
"WHITE STAR",NICE,"2024-03-25 10:20:00","2024-03-25 09:22:00",426,"Pleasure Craft","Cayman Is",NICE,NICE,Moored,2004,45.7,8.5,FR,2.7,2.6,Yacht,2004-04-16,9323663,,319035000,"West Mediterranean","Ligurean Sea",FRNCE
"DARYA GAYATRI","HAY POINT","2024-03-25 10:30:00","2024-03-25 16:10:00",81874,Cargo,"Hong Kong","HAY POINT ANCH","HAY POINT","At Anchor",2012,229.0,32.3,AU,14.9,4.3,"Bulk Carrier",,9591686,,477765200,"East Australia","East Australia",
LEOPARD,GDYNIA,"2024-03-25 10:30:00","2024-03-25 09:19:00",155,Tug,Vanuatu,GDYNIA,"PL GDY",Moored,1969,32.6,9.2,PL,4.6,3.9,Tug,,6819697,,576909000,"Baltic Sea","Baltic Sea",PLGDY
"PHOENIX CROSS",MIDDLESBROUGH,"2024-03-25 10:30:00","2024-03-25 11:35:00",102,Tug,"United Kingdom",MIDDLESBROUGH,,Moored,1993,30.6,10.3,GB,5.2,4.6,Tug,1993-08-19,9064724,,235067452,"UK Coast & Atlantic","North Sea",GBMID
MARIN,"POINTE A PITRE","2024-03-25 10:30:00","2024-03-25 10:45:00",4750,Cargo,Luxembourg,,GPPTP,"At Anchor",1991,114.4,18.0,,6.3,4.0,"Ro-Ro/Vehicles Carrier",,8912376,,253339000,"Caribbean Sea","Caribbean Sea",
HAIYU86,TAICANG,"2024-03-25 10:30:00","2024-03-25 08:31:00",,Other,China,TAICANG,TAICANG,Stopped,,13.0,4.0,CN,1.5,0.6,"Other Special Craft",,0,0,413835752,"Central China","East China Sea",CNTAG
