IMO number,MMSI,Name of the ship,Former names,Vessel type,Operating status,Flag,Gross tonnage,Deadweight,Length,Breadth,Engine type,Year of build,Builder,Classification society,Home port,Owner,Manager,Description,Engine model,Engine power
9613812,477045900,ATLANTIC HARMONY,HUANGHAI HCY 103,General cargo vessel,Active,Hong Kong,22362 tons,31776 tons,166 m,27 m,MAN-B&W,2017,"HUANGHAI SHIPBUILDING - RONGCHENG, CHINA",,HONG KONG,"IRISL - TEHRAN, IRAN","IRISL - TEHRAN, IRAN","ATLANTIC HARMONY is a General cargo vessel built in 2017 by HUANGHAI SHIPBUILDING - RONGCHENG, CHINA. Currently sailing under the flag of Hong Kong. Formerly also known as HUANGHAI HCY 103. It's gross tonnage is 22362 tons.",6S46ME-B,6480 KW
9405746,229291000,LASCAUX,LASCAUX                                                                               (2021),Chemical/Oil tanker,Active,Malta,6953 tons,11674 tons,119 m,20 m,MAN-B&W,2007,"TERSAN TERSANECILIK - ISTANBUL, TURKEY",BUREAU VERITAS,VALLETTA,"SEA TANKERS SHIPPING - MERIGNAC, FRANCE","ST MANAGEMENT - MERIGNAC, FRANCE","LASCAUX is a Chemical/Oil tanker built in 2007 by TERSAN TERSANECILIK - ISTANBUL, TURKEY. Currently sailing under the flag of Malta. Formerly also known as LASCAUX. It's gross tonnage is 6953 tons.",,4800 KW
9294408,255805664,MAERSK LAUNCESTON,DAL KALAHARI                                                                               (2013),Container ship,Active,Portugal,50736 tons,62994 tons,266 m,37 m,Sulzer,2005,"ODENSE STEEL SHIPYARD - ODENSE, DENMARK",LLOYD'S SHIPPING REGISTER,MONROVIA,"ESSBERGER - HAMBURG, GERMANY","ESSBERGER - HAMBURG, GERMANY","MAERSK LAUNCESTON is a Container ship built in 2005 by ODENSE STEEL SHIPYARD - ODENSE, DENMARK. Currently sailing under the flag of Portugal. Formerly also known as DAL KALAHARI. It's gross tonnage is 50736 tons.",8RT-Flex96C,45760 KW
9395616,636018000,CONTSHIP TOP,TURNBERRY KONTOR                                                                               (2014)                          DS AGILITY                                                                               (2013),Container ship,Active,Liberia,9940 tons,13750 tons,147 m,23 m,B&W,2008,"QINGSHAN SHIPYARD - WUHAN, CHINA",GERMANISCHER LLOYD,MONROVIA,"DS SCHIFFAHRT - HAMBURG, GERMANY","DS SCHIFFAHRT - HAMBURG, GERMANY","CONTSHIP TOP is a Container ship built in 2008 by QINGSHAN SHIPYARD - WUHAN, CHINA. Currently sailing under the flag of Liberia. Formerly also known as TURNBERRY KONTOR, DS AGILITY. It's gross tonnage is 9940 tons.",7L58/64,9730 KW
9466142,311027400,SCOTT SPIRIT,,Shuttle tanker,Active,Bahamas,66563 tons,109335 tons,248 m,43 m,,2011,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",DET NORSKE VERITAS,NASSAU,"TEEKAY SHIPPING NORWAY - STAVANGER, NORWAY","TEEKAY SHIPPING NORWAY - STAVANGER, NORWAY","SCOTT SPIRIT is a Shuttle tanker built in 2011 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Bahamas. It's gross tonnage is 66563 tons.",,
9390305,212123000,STOC MARCIA,"JBCC MARCIA                                                                               (2018, Cyprus)",Chemical/Oil tanker,Active,Cyprus,3219 tons,4634 tons,99 m,15 m,,2007,"CEKSAN SHIPYARD - ISTANBUL, TURKEY",BUREAU VERITAS,LIMASSOL,"STOC TANKERS - STOCKHOLM, SWEDEN","STOC TANKERS - STOCKHOLM, SWEDEN","STOC MARCIA is a Chemical/Oil tanker built in 2007 by CEKSAN SHIPYARD - ISTANBUL, TURKEY. Currently sailing under the flag of Cyprus. Formerly also known as JBCC MARCIA. It's gross tonnage is 3219 tons.",,3000 KW
9690145,310722000,LNG FINIMA II,,LNG carrier,Active,Bermuda,116568 tons,86867 tons,292 m,47 m,,2015,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",BUREAU VERITAS,HAMILTON,"NIGERIA LNG - PORT HARCOURT, NIGERIA","NIGERIA LNG - PORT HARCOURT, NIGERIA","LNG FINIMA II is a LNG carrier built in 2015 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Bermuda. It's gross tonnage is 116568 tons.",,
9448360,244129000,POOLGRACHT,HHL FREMANTLE                                                                               (2019)                          HHL FREMANTLE                                                                               (2019)                          HHL FREMANTLE                                                                               (2017)                          BELUGA PROTECTION                                                                               (2011),General cargo vessel,Active,Netherlands,17644 tons,19381 tons,168 m,25 m,MAN,2011,"HUDONG ZHONGHUA SHIPBUILDING GROUP - SHANGHAI, CHINA",GERMANISCHER LLOYD,AMSTERDAM,"HANSA HEAVY LIFT - HAMBURG, GERMANY","HANSA HEAVY LIFT - HAMBURG, GERMANY","POOLGRACHT is a General cargo vessel built in 2011 by HUDONG ZHONGHUA SHIPBUILDING GROUP - SHANGHAI, CHINA. Currently sailing under the flag of Netherlands. Formerly also known as HHL FREMANTLE, HHL FREMANTLE, HHL FREMANTLE, BELUGA PROTECTION. It's gross tonnage is 17644 tons.",7L 58/64,9800 KW
9796494,563068400,BW DESPINA,,Crude oil tanker,Active,Singapore,62433 tons,109990 tons,250 m,44 m,,2019,,,,,,BW DESPINA is a Crude oil tanker built in 2019. Currently sailing under the flag of Singapore. It's gross tonnage is 62433 tons.,,
9306172,353117000,MAERSK PUELO,PUELO                                                                               (2018)                          PUELO                                                                               (2013),Container ship,Active,Panama,73934 tons,81250 tons,304 m,40 m,MAN-B&W,2006,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,MAJURO,"UNITIZED OCEAN TRANSPORT - ATHENS, GREECE","UNITIZED OCEAN TRANSPORT - ATHENS, GREECE","MAERSK PUELO is a Container ship built in 2006 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as PUELO, PUELO. It's gross tonnage is 73934 tons.",10K98ME-C,60200 KW
9720201,374586000,MSC DOMITILLE,"MS                                                                               (2019, Panama)                          VBC DOMITILLE                                                                               (2018, Panama)",Container ship,Active,Panama,94469 tons,110699 tons,299 m,48 m,MAN-B&W,2015,"JIANGNAN SHIPYARD - LINHAI, CHINA",GERMANISCHER LLOYD,,"HANYUAN SHANGHAI SHIP - SHANGHAI, CHINA","MSC MEDITERRANEAN SHIPPING - GENEVA, SWITZERLAND","MSC DOMITILLE is a Container ship built in 2015 by JIANGNAN SHIPYARD - LINHAI, CHINA. Currently sailing under the flag of Panama. Formerly also known as MS, VBC DOMITILLE. It's gross tonnage is 94469 tons.",,45000 KW
9038907,636017006,MSC ROBERTA,"STUTTGART EXPRESS                                                                               (2015, Germany)",Container ship,Active,Liberia,53815 tons,67640 tons,294 m,32 m,B&W,1993,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"HAPAG LLOYD - HAMBURG, GERMANY","HAPAG LLOYD - HAMBURG, GERMANY","MSC ROBERTA is a Container ship built in 1993 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as STUTTGART EXPRESS. It's gross tonnage is 53815 tons.",9K90GF,36500 KW
9391024,255806248,MANISA GRETA,"MANISA GRETA                                                                               (2019, Malta)                          SHIRKAN C                                                                               (2013, Antigua & Barbuda)                          SHIRKAN_C",General cargo vessel,Active,Portugal,5629 tons,8046 tons,108 m,18 m,MAN-B&W,2007,"JIANGSU YANGZIJIANG SHIPBUILDING CO. LTD. - JIANGYIN, CHINA",GERMANISCHER LLOYD,VALLETTA,"ROHDEN SHIPMANAGEMENT - HAMBURG, GERMANY","ROHDEN SHIPMANAGEMENT - HAMBURG, GERMANY","MANISA GRETA is a General cargo vessel built in 2007 by JIANGSU YANGZIJIANG SHIPBUILDING CO. LTD. - JIANGYIN, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MANISA GRETA, SHIRKAN C, SHIRKAN_C. It's gross tonnage is 5629 tons.",7S26MC,2800 KW
9681120,538005413,STI SAN ANTONIO,"SDK SQN8ANTOLYO                                                                               (2018, Marshall Islands)",Chemical/Oil tanker,Active,Marshall Islands,29732 tons,49990 tons,183 m,32 m,,2014,"SPP SHIPBUILDING SACHEON SHIPYARD - SACHEON, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,,"SCORPIO COMMERCIAL MANAGEMENT - ISTANBUL, TURKEY","SCORPIO COMMERCIAL MANAGEMENT - ISTANBUL, TURKEY","STI SAN ANTONIO is a Chemical/Oil tanker built in 2014 by SPP SHIPBUILDING SACHEON SHIPYARD - SACHEON, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. Formerly also known as SDK SQN8ANTOLYO. It's gross tonnage is 29732 tons.",,
9594781,311000451,SYDNEY SPIRIT,PRINCIMAR PRIDE                                                                               (2015),Crude oil tanker,Active,Bahamas,81326 tons,158542 tons,274 m,48 m,MAN-B&W,2012,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,NASSAU,"PRINCIPAL MARITIME MANAGEMENT - SOUTHPORT CT, United States (USA)","PRINCIPAL MARITIME MANAGEMENT - SOUTHPORT CT, United States (USA)","SYDNEY SPIRIT is a Crude oil tanker built in 2012 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Bahamas. Formerly also known as PRINCIMAR PRIDE. It's gross tonnage is 81326 tons.",6S70ME-C8,186651 KW
9618317,256871000,MSC ATHOS,MSC ATHOS                                                                               (2015),Container ship,Active,Malta,96262 tons,110772 tons,299 m,48 m,MAN-B&W,2013,"SUNGDONG SHIPBUILDING & MARINE ENGINEERING CO. LTD. - TONGYOUNG, SOUTH KOREA",GERMANISCHER LLOYD,VALLETTA,"COSTAMARE SHIPPING - ATHENS, GREECE","COSTAMARE SHIPPING - ATHENS, GREECE","MSC ATHOS is a Container ship built in 2013 by SUNGDONG SHIPBUILDING & MARINE ENGINEERING CO. LTD. - TONGYOUNG, SOUTH KOREA. Currently sailing under the flag of Malta. Formerly also known as MSC ATHOS. It's gross tonnage is 96262 tons.",9S90ME,47430 KW
9116369,636017582,MSC SENA,MSC SENA                                                                               (2016)                          E.R. ALBANY                                                                               (2013)                          E.R.ALBANY                                                                               (2013)                          E.R. ALBANY                                                                               (2013)                          MACANDREWS AMERICA                                                                               (2007)                          CMA CGM EGYPT                                                                               (2006)                          E.R.ALBANY                                                                               (2004)                          RHEIN                                                                               (2002)                          ZIM SYDNEY                                                                               (2000),Container ship,Active,Liberia,30280 tons,35966 tons,201 m,32 m,MAN-B&W,1996,"HALLA ENGINEERING SAMHO - SAMHO, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"CHARTWORLD SHIPPING CORP., GREECE","CHARTWORLD SHIPPING CORP., GREECE","MSC SENA is a Container ship built in 1996 by HALLA ENGINEERING SAMHO - SAMHO, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as MSC SENA, E.R. ALBANY, E.R.ALBANY, E.R. ALBANY, MACANDREWS AMERICA, CMA CGM EGYPT, E.R.ALBANY, RHEIN, ZIM SYDNEY. It's gross tonnage is 30280 tons.",8K80MC-C,25036 KW
9313943,219116000,SEAGO ISTANBUL,"S5AGO ISTANAUL                                                                               (2018, Denmark)                          C                                                                               (2018, Denmark)                          SEALT                                                                               (2017, Denmark)                          MAERSK BUFFALO                                                                               (2012, Denmark)                          BUFFALO                                                                               (2012, Denmark)                          MAERSK                                                                               (2007)",Container ship,Active,Denmark,48788 tons,53701 tons,293 m,32 m,Sulzer,2007,VOLKSWERFT STRALSUND GMBH - STRALSUND (DEU). YARD NO. 463,LLOYD'S SHIPPING REGISTER,COPENHAGEN,"MAERSK - LONDON, United Kingdom (UK)","MAERSK - LONDON, United Kingdom (UK)","SEAGO ISTANBUL is a Container ship built in 2007 by VOLKSWERFT STRALSUND GMBH - STRALSUND (DEU). YARD NO. 463. Currently sailing under the flag of Denmark. Formerly also known as S5AGO ISTANAUL, C, SEALT, MAERSK BUFFALO, BUFFALO, MAERSK. It's gross tonnage is 48788 tons.",10RT-FLEX 96C,61766 KW
9306304,255806260,MANISA SOLE,VERA ROSE                                                                               (2018)                          VERA ROSE                                                                               (2018)                          CARLA                                                                               (2013),General cargo vessel,Active,Portugal,5581 tons,8200 tons,108 m,18 m,B&W,2006,"JIANGSU EASTERN SHIPYARD - JINGJIANG, CHINA",GERMANISCHER LLOYD,SAINT JOHN'S,"DOHLE SCHIFFAHRT - HAMBURG, GERMANY","DOHLE SCHIFFAHRT - HAMBURG, GERMANY","MANISA SOLE is a General cargo vessel built in 2006 by JIANGSU EASTERN SHIPYARD - JINGJIANG, CHINA. Currently sailing under the flag of Portugal. Formerly also known as VERA ROSE, VERA ROSE, CARLA. It's gross tonnage is 5581 tons.",7S26MC,2800 KW
9721906,538005807,MARLIN AQUAMARINE,,Chemical/Oil tanker,Active,Marshall Islands,29669 tons,49999 tons,183 m,32 m,,2016,"GUANGZHOU INTERNATIONAL SHIPYARD - GUANGZHOU, CHINA",DET NORSKE VERITAS,MARSHALL ISLANDS,"TRAFIGURA BEHEER - AMSTERDAM, NETHERLANDS","TRAFIGURA BEHEER - AMSTERDAM, NETHERLANDS","MARLIN AQUAMARINE is a Chemical/Oil tanker built in 2016 by GUANGZHOU INTERNATIONAL SHIPYARD - GUANGZHOU, CHINA. Currently sailing under the flag of Marshall Islands. It's gross tonnage is 29669 tons.",,
9629562,229365000,SEAPRIDE,,Chemical/Oil tanker,Active,Malta,29925 tons,50660 tons,183 m,32 m,,2013,"STX OFFSHORE & SHIPBUILDING CO. LTD. - JINHAE, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,VALLETTA,"THENAMARIS - ATHENS, GREECE","THENAMARIS - ATHENS, GREECE","SEAPRIDE is a Chemical/Oil tanker built in 2013 by STX OFFSHORE & SHIPBUILDING CO. LTD. - JINHAE, SOUTH KOREA. Currently sailing under the flag of Malta. It's gross tonnage is 29925 tons.",,
9702091,255806495,MSC SOFIA CELESTE,MSC SOFIA CELESTE                                                                               (2021),Container ship,Active,Portugal,96331 tons,110039 tons,299 m,48 m,,2015,"DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA",,,"CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","CHINA INTERNATIONAL MARINE CONTAINERS GROUP - SHENZHEN, CHINA","MSC SOFIA CELESTE is a Container ship built in 2015 by DALIAN SHIPBUILDING INDUSTRY GROUP - DALIAN, CHINA. Currently sailing under the flag of Portugal. Formerly also known as MSC SOFIA CELESTE. It's gross tonnage is 96331 tons.",,
9223904,209141000,AUGUSTA SUN,"WANSHUNFA6688                                                                               (2018, China)                          ATLANTIC PATRIOT                                                                               (2017, Cyprus)                          HAL PATRIOT                                                                               (2013, Cyprus)                          FEDERAL PATRIOT                                                                               (2010, Cyprus)                          BBC RUSSIA                                                                               (2008)                          ATLANTIC PROGRESS                                                                               (2003)",General cargo vessel,Active,Cyprus,12993 tons,17531 tons,143 m,22 m,,2003,"NEW CENTURY SHIPBUILDING - JINGJIANG, CHINA",GERMANISCHER LLOYD,LIMASSOL,"INTERSHIP NAVIGATION - LIMASSOL, CYPRUS","HARTMANN ASIA CONTAINER LINE - LIMASSOL, CYPRUS","AUGUSTA SUN is a General cargo vessel built in 2003 by NEW CENTURY SHIPBUILDING - JINGJIANG, CHINA. Currently sailing under the flag of Cyprus. Formerly also known as WANSHUNFA6688, ATLANTIC PATRIOT, HAL PATRIOT, FEDERAL PATRIOT, BBC RUSSIA, ATLANTIC PROGRESS. It's gross tonnage is 12993 tons.",,
8200577,356756000,ATLANTIC M,AL MAHMOUD ORIENT                                                                               (2012)                          AL MAHMOUD ORIENT                                                                               (2010)                          AUTOTRANSPORTER                                                                               (2009),Livestock carrier,Active,Panama,7069 tons,2655 tons,99 m,17 m,,1983,"TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN",LLOYD'S SHIPPING REGISTER,Panama,LIVESTOCK EXPORT - PANAMA,LIVESTOCK EXPORT - PANAMA,"ATLANTIC M is a Livestock carrier built in 1983 by TSUNEISHI SHIPBUILDING - FUKUYAMA, JAPAN. Currently sailing under the flag of Panama. Formerly also known as AL MAHMOUD ORIENT, AL MAHMOUD ORIENT, AUTOTRANSPORTER. It's gross tonnage is 7069 tons.",,
9450363,255806170,NORTHERN JAMBOREE,NORTHERN JAMBOREE                                                                               (2018),Container ship,Active,Portugal,94419 tons,108827 tons,332 m,43 m,MAN-B&W,2010,"DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - BUSAN, CHINA",GERMANISCHER LLOYD,MONROVIA,"NORDDEUTSCHE REEDEREI - HAMBURG, GERMANY","NORDDEUTSCHE REEDEREI - HAMBURG, GERMANY","NORTHERN JAMBOREE is a Container ship built in 2010 by DAEWOO SHIPBUILDING & MARINE ENGINEERING CO. LTD. - BUSAN, CHINA. Currently sailing under the flag of Portugal. Formerly also known as NORTHERN JAMBOREE. It's gross tonnage is 94419 tons.",10K98ME-C,57100 KW
9344174,256442000,ANDREA D,SICHEM RUBY                                                                               (2021)                          SICHEM RUBY                                                                               (2015)                          SONGA RUBY                                                                               (2007)                          SONGA RUBY                                                                               (2007),Chemical/Oil tanker,Active,Malta,5303 tons,8824 tons,114 m,18 m,MAN-B&W,2006,"MURAKAMI HIDE SHIPBUILDING - IKATA, JAPAN",NIPPON KAIJI KYOKAI (NKK),VALLETTA,EXECUTIVE SHIPMANAGEMENT - SINGAPORE,"BSM INDIA - MUMBAI, INDIA","ANDREA D is a Chemical/Oil tanker built in 2006 by MURAKAMI HIDE SHIPBUILDING - IKATA, JAPAN. Currently sailing under the flag of Malta. Formerly also known as SICHEM RUBY, SICHEM RUBY, SONGA RUBY, SONGA RUBY. It's gross tonnage is 5303 tons.",10K90MC-C,3900 KW
9399478,311000338,VAIL SPIRIT,"TAIPAN                                                                               (2015, Greece)",Crude oil tanker,Active,Bahamas,83545 tons,157048 tons,274 m,48 m,MAN-B&W,2009,"NANTONG RONGSHENG SHIPBUILDING - SHANGHAI, CHINA",AMERICAN BUREAU OF SHIPPING,NASSAU,"HEIDMAR - NORWALK CT, United States (USA)","TMS TANKERS - ATHENS, GREECE","VAIL SPIRIT is a Crude oil tanker built in 2009 by NANTONG RONGSHENG SHIPBUILDING - SHANGHAI, CHINA. Currently sailing under the flag of Bahamas. Formerly also known as TAIPAN. It's gross tonnage is 83545 tons.",6S80MC-C,18660 KW
7626085,263601460,POSEIDON,,Tug boat,Active,Portugal,249 tons,189 tons,28 m,9 m,,1979,"REBOPORT - SETUBAL, PORTUGAL",,,,,"POSEIDON is a Tug boat built in 1979 by REBOPORT - SETUBAL, PORTUGAL. Currently sailing under the flag of Portugal. It's gross tonnage is 249 tons.",,
9293791,255805913,CONTI CHIVALRY,CONTI CHIVALRY                                                                               (2020)                          EVER CHIVALRY                                                                               (2018)                          EVER CIIVALRY                                                                               (2018)                          EVER CHIVALRY                                                                               (2016),Container ship,Active,Portugal,90449 tons,100902 tons,333 m,42 m,Sulzer,2006,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",GERMANISCHER LLOYD,HAMBURG,"NSB NIEDERELBE - BUXTEHUDE, GERMANY","NSB NIEDERELBE - BUXTEHUDE, GERMANY","CONTI CHIVALRY is a Container ship built in 2006 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Portugal. Formerly also known as CONTI CHIVALRY, EVER CHIVALRY, EVER CIIVALRY, EVER CHIVALRY. It's gross tonnage is 90449 tons.",12RTA-96C,68000 KW
9433157,636091600,JENNIFER SCHEPERS,BF COPACABANA                                                                               (2016)                          MISTRAL STRAIT                                                                               (2009),Container ship,Active,Liberia,21018 tons,25775 tons,179 m,27 m,MAN-B&W,2009,"KOUAN SHIPBUILDING - TAIZHOU JIANGSU, CHINA",GERMANISCHER LLOYD,MONROVIA,"HAINAN P O SHIPPING - HAINAN, CHINA","PO SHIPPING - HAINAN, CHINA","JENNIFER SCHEPERS is a Container ship built in 2009 by KOUAN SHIPBUILDING - TAIZHOU JIANGSU, CHINA. Currently sailing under the flag of Liberia. Formerly also known as BF COPACABANA, MISTRAL STRAIT. It's gross tonnage is 21018 tons.",7S60MC-C,16660 KW
9308558,266273000,EXCELLO,,Chemical/Oil tanker,Active,Sweden,13798 tons,19999 tons,155 m,23 m,Wartsila,2008,"EDWARDS SHIPBUILDING SHANGHAI - SHANGHAI, CHINA",DET NORSKE VERITAS,DONSO,"DONSOTANK REDERI - DONSO, SWEDEN","DONSOTANK REDERI - DONSO, SWEDEN","EXCELLO is a Chemical/Oil tanker built in 2008 by EDWARDS SHIPBUILDING SHANGHAI - SHANGHAI, CHINA. Currently sailing under the flag of Sweden. It's gross tonnage is 13798 tons.",6L46C,6400 KW
9593426,538004027,SAN SABA,,Crude oil tanker,Active,Marshall Islands,81346 tons,159018 tons,274 m,48 m,,2012,"HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA",AMERICAN BUREAU OF SHIPPING,,ANGLO EASTERN SHIPMANAGEMENT SINGAPORE - SINGAPORE,"DIAMOND S MANAGEMENT - GREENWICH CT, United States (USA)","SAN SABA is a Crude oil tanker built in 2012 by HYUNDAI HEAVY INDUSTRIES CO. LTD. - ULSAN, SOUTH KOREA. Currently sailing under the flag of Marshall Islands. It's gross tonnage is 81346 tons.",,
9085546,636018912,MAERSK KLEVEN,EVEN                                                                               (2018)                          MSC KLEVEN                                                                               (2018)                          MSC KLEVEN                                                                               (2018)                          KATE MAERSK                                                                               (2008),Container ship,Active,Liberia,81488 tons,84900 tons,318 m,42 m,MAN-B&W,1996,"ODENSE STEEL SHIPYARD - ODENSE, DENMARK",LLOYD'S SHIPPING REGISTER,,"COSTAMARE SHIPPING - ATHENS, GREECE","COSTAMARE SHIPPING - ATHENS, GREECE","MAERSK KLEVEN is a Container ship built in 1996 by ODENSE STEEL SHIPYARD - ODENSE, DENMARK. Currently sailing under the flag of Liberia. Formerly also known as EVEN, MSC KLEVEN, MSC KLEVEN, KATE MAERSK. It's gross tonnage is 81488 tons.",12K90MC,54840 KW
9181663,353719000,MSC MATILDE,84SC_MATILDE                                                                               (2008)                          SAUDI JUBAIL                                                                               (2002),Container ship,Active,Panama,53208 tons,67615 tons,294 m,32 m,,1999,"SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA",BUREAU VERITAS,Panama,"MSC SHIPMANAGEMENT HONG KONG - HONG KONG, CHINA","MSC SHIPMANAGEMENT HONG KONG - HONG KONG, CHINA","MSC MATILDE is a Container ship built in 1999 by SAMSUNG SHIPBUILDING & HEAVY INDUSTRIES CO. LTD. - GEOJE, SOUTH KOREA. Currently sailing under the flag of Panama. Formerly also known as 84SC_MATILDE, SAUDI JUBAIL. It's gross tonnage is 53208 tons.",,
9518983,255806468,JADELAND,KALVOE                                                                               (2021)                          KALVOE                                                                               (2021)                          KALVOE                                                                               (2017)                          DINKELDIEP                                                                               (2017)                          DINKELDIEP                                                                               (2012),General cargo vessel,Active,Portugal,4220 tons,5646 tons,106 m,15 m,,2011,"RONGCHENG SHIPBUILDING INDUSTRY GROUP - RONGCHENG, CHINA",GERMANISCHER LLOYD,LIMASSOL,"INTERSHIP NAVIGATION - LIMASSOL, CYPRUS","INTERSHIP NAVIGATION - LIMASSOL, CYPRUS","JADELAND is a General cargo vessel built in 2011 by RONGCHENG SHIPBUILDING INDUSTRY GROUP - RONGCHENG, CHINA. Currently sailing under the flag of Portugal. Formerly also known as KALVOE, KALVOE, KALVOE, DINKELDIEP, DINKELDIEP. It's gross tonnage is 4220 tons.",,
9602643,636019391,RED NOVA,BRIGHTOIL GRACE                                                                               (2019)                          BRIGHTOIL GRACE                                                                               (2019),Crude oil tanker,Active,Liberia,161296 tons,319778 tons,333 m,60 m,B&W,2013,"HHI GUNSAN - GUNSAN, SOUTH KOREA",LLOYD'S SHIPPING REGISTER,HONG KONG,,,"RED NOVA is a Crude oil tanker built in 2013 by HHI GUNSAN - GUNSAN, SOUTH KOREA. Currently sailing under the flag of Liberia. Formerly also known as BRIGHTOIL GRACE, BRIGHTOIL GRACE. It's gross tonnage is 161296 tons.",7S60MC-C,30423 KW
9466714,305850000,SLOMAN HERA,"SLOMN AHERA                                                                               (2018, Antigua & Barbuda)                          SLOMAN HERA NO                                                                               (2017, Antigua & Barbuda)                          SIOMAN HERA                                                                               (2012, Antigua & Barbuda)                          JIANG LIAN 22                                                                               (2012, Antigua & Barbuda)",Chemical/Oil tanker,Active,Antigua & Barbuda,11298 tons,16426 tons,145 m,23 m,MAN-B&W,2012,"JIANGZHOU UNION SHIPBUILDING - RUI CHANG, CHINA",AMERICAN BUREAU OF SHIPPING,SAINT JOHN'S,"SLOMAN NEPTUN - BREMEN, GERMANY","SLOMAN NEPTUN - BREMEN, GERMANY","SLOMAN HERA is a Chemical/Oil tanker built in 2012 by JIANGZHOU UNION SHIPBUILDING - RUI CHANG, CHINA. Currently sailing under the flag of Antigua & Barbuda. Formerly also known as SLOMN AHERA, SLOMAN HERA NO, SIOMAN HERA, JIANG LIAN 22. It's gross tonnage is 11298 tons.",6S35MC,4440 KW
9385843,477392300,DHT PEONY,DHT PEONY                                                                               (2019)                          BW PEONY                                                                               (2018)                          BW PEONY                                                                               (2016),Crude oil tanker,Active,Hong Kong,167054 tons,320014 tons,332 m,60 m,,2011,"BOHAI SHIPBUILDING HEAVY INDUSTRY CO. LTD. - HULUDAO, CHINA",DET NORSKE VERITAS,DOUGLAS (ISLE OF MAN),BW MARITIME - SINGAPORE,"BW FLEET MANAGEMENT - LYSAKER, NORWAY","DHT PEONY is a Crude oil tanker built in 2011 by BOHAI SHIPBUILDING HEAVY INDUSTRY CO. LTD. - HULUDAO, CHINA. Currently sailing under the flag of Hong Kong. Formerly also known as DHT PEONY, BW PEONY, BW PEONY. It's gross tonnage is 167054 tons.",,
9289960,255792000,MSC MANZANILLO,MP THE GRONK                                                                               (2021)                          MP THE GRONK                                                                               (2021)                          JULIETTE RICKMERS                                                                               (2017)                          MAERSK DAVAO                                                                               (2012),Container ship,Active,Portugal,54758 tons,68168 tons,294 m,32 m,MAN-B&W,2005,"HANJIN ULSAN FACTORY - ULSAN, SOUTH KOREA",GERMANISCHER LLOYD,MONROVIA,"RICKMERS REEDEREI - HAMBURG, GERMANY","RICKMERS REEDEREI - HAMBURG, GERMANY","MSC MANZANILLO is a Container ship built in 2005 by HANJIN ULSAN FACTORY - ULSAN, SOUTH KOREA. Currently sailing under the flag of Portugal. Formerly also known as MP THE GRONK, MP THE GRONK, JULIETTE RICKMERS, MAERSK DAVAO. It's gross tonnage is 54758 tons.",9K90MC-C,41040 KW
